objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
68,service-pnp-agc-7a05000-7a05200-7a05223v.jpg,,service-pnp-agc-7a05000-7a05200-7a05223v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
69,service-pnp-agc-7a05000-7a05200-7a05224v.jpg,,service-pnp-agc-7a05000-7a05200-7a05224v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
70,service-pnp-agc-7a05000-7a05200-7a05225v.jpg,,service-pnp-agc-7a05000-7a05200-7a05225v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
71,service-pnp-agc-7a05000-7a05200-7a05227v.jpg,,service-pnp-agc-7a05000-7a05200-7a05227v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
72,service-pnp-agc-7a05000-7a05200-7a05228v.jpg,,service-pnp-agc-7a05000-7a05200-7a05228v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
73,service-pnp-agc-7a05000-7a05200-7a05229v.jpg,,service-pnp-agc-7a05000-7a05200-7a05229v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
74,service-pnp-agc-7a05000-7a05200-7a05230v.jpg,,service-pnp-agc-7a05000-7a05200-7a05230v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
75,service-pnp-agc-7a05000-7a05200-7a05232v.jpg,,service-pnp-agc-7a05000-7a05200-7a05232v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
76,service-pnp-agc-7a05000-7a05200-7a05233v.jpg,,service-pnp-agc-7a05000-7a05200-7a05233v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
77,service-pnp-agc-7a05000-7a05200-7a05234v.jpg,,service-pnp-agc-7a05000-7a05200-7a05234v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
78,service-pnp-agc-7a05000-7a05200-7a05235v.jpg,,service-pnp-agc-7a05000-7a05200-7a05235v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
79,service-pnp-agc-7a05000-7a05200-7a05236v.jpg,,service-pnp-agc-7a05000-7a05200-7a05236v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
80,service-pnp-agc-7a05000-7a05200-7a05238v.jpg,,service-pnp-agc-7a05000-7a05200-7a05238v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
81,service-pnp-agc-7a05000-7a05200-7a05239v.jpg,,service-pnp-agc-7a05000-7a05200-7a05239v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
82,service-pnp-agc-7a05000-7a05200-7a05240v.jpg,,service-pnp-agc-7a05000-7a05200-7a05240v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
83,service-pnp-agc-7a05000-7a05200-7a05241v.jpg,,service-pnp-agc-7a05000-7a05200-7a05241v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
84,service-pnp-agc-7a05000-7a05200-7a05243v.jpg,,service-pnp-agc-7a05000-7a05200-7a05243v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
85,service-pnp-agc-7a05000-7a05200-7a05244v.jpg,,service-pnp-agc-7a05000-7a05200-7a05244v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
86,service-pnp-agc-7a05000-7a05200-7a05245v.jpg,,service-pnp-agc-7a05000-7a05200-7a05245v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
87,service-pnp-agc-7a05000-7a05200-7a05246v.jpg,,service-pnp-agc-7a05000-7a05200-7a05246v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
88,service-pnp-agc-7a05000-7a05200-7a05247v.jpg,,service-pnp-agc-7a05000-7a05200-7a05247v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
89,service-pnp-agc-7a09000-7a09600-7a09670r.jpg,,service-pnp-agc-7a09000-7a09600-7a09670r.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
90,service-pnp-agc-7a10000-7a10100-7a10182r.jpg,,service-pnp-agc-7a10000-7a10100-7a10182r.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
91,service-pnp-agc-7a10000-7a10100-7a10184r.jpg,,service-pnp-agc-7a10000-7a10100-7a10184r.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
92,service-pnp-agc-7a10000-7a10100-7a10187r.jpg,,service-pnp-agc-7a10000-7a10100-7a10187r.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
